unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
59904032,2024-01-02T07:07:01.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455,600 TRINITY AVENUE,TRINITY AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1009258,236005,40.81441955223652,-73.90965477441011,"
,  
(40.81441955223652, -73.90965477441011)"
59910491,2024-01-02T07:06:59.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,1789 BEDFORD AVENUE,BEDFORD AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,996162,180565,40.66227791840826,-73.95706423587505,"
,  
(40.66227791840826, -73.95706423587505)"
59904107,2024-01-02T07:06:42.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2625 GRAND CONCOURSE,GRAND CONCOURSE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1013268,254494,40.865154176445884,-73.89508805180566,"
,  
(40.865154176445884, -73.89508805180566)"
59905366,2024-01-02T07:06:27.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,371 EAST  165 STREET,EAST  165 STREET,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1008269,241043,40.828250176321184,-73.91320965292677,"
,  
(40.828250176321184, -73.91320965292677)"
59901567,2024-01-02T07:06:25.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10308,3974 AMBOY ROAD,AMBOY ROAD,NA,NA,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,942481,139924,40.550636352813754,-74.15030123303485,"
,  
(40.550636352813754, -74.15030123303485)"
59904129,2024-01-02T07:06:25.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11374,94-19 66 AVENUE,66 AVENUE,NA,NA,NA,NA,ADDRESS,REGO PARK,NA,QUEENS,1023710,203491,40.72512447911726,-73.8576356893014,"
,  
(40.72512447911726, -73.8576356893014)"
59903628,2024-01-02T07:06:00.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,120 EAST  184 STREET,EAST  184 STREET,MORRIS AVENUE,CRESTON AVENUE,MORRIS AVENUE,CRESTON AVENUE,ADDRESS,BRONX,EAST  184 STREET,BRONX,1011867,252524,40.85975161889327,-73.90016135346927,"
,  
(40.85975161889327, -73.90016135346927)"
59903790,2024-01-02T07:06:00.000,DOT,Traffic Signal Condition,Controller,NA,11222,NA,NA,NA,NA,BEDFORD AVENUE,MANHATTAN AVENUE,INTERSECTION,BROOKLYN,NA,BROOKLYN,997838,203089,40.72409866269384,-73.95097780722291,"
,  
(40.72409866269384, -73.95097780722291)"
59907157,2024-01-02T07:05:55.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11229,2058 BATCHELDER STREET,BATCHELDER STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,BATCHELDER STREET,BROOKLYN,1001127,158481,40.601653957982215,-73.93922355941876,"
,  
(40.601653957982215, -73.93922355941876)"
59906248,2024-01-02T07:05:47.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11435,139-17 101 AVENUE,101 AVENUE,CRESSKILL PLACE,BRISBIN STREET,CRESSKILL PLACE,BRISBIN STREET,ADDRESS,JAMAICA,101 AVENUE,QUEENS,1037196,192458,40.6947711449294,-73.80906761573097,"
,  
(40.6947711449294, -73.80906761573097)"
59906187,2024-01-02T07:05:46.000,NYPD,Noise - Vehicle,Engine Idling,Street/Sidewalk,11105,21-27 32 STREET,32 STREET,DEAD END,DITMARS BOULEVARD,DEAD END,DITMARS BOULEVARD,ADDRESS,ASTORIA,32 STREET,QUEENS,1009431,222293,40.77678335972793,-73.90908120093695,"
,  
(40.77678335972793, -73.90908120093695)"
59921950,2024-01-02T07:05:37.000,DOT,Street Condition,Pothole,NA,10466,909 EAST  223 STREET,EAST  223 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,NA,NA,ADDRESS,BRONX,NA,BRONX,1024362,261520,40.88439491668449,-73.85493669765718,"
,  
(40.88439491668449, -73.85493669765718)"
59907429,2024-01-02T07:05:30.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11106,34-12 10 STREET,10 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,ASTORIA,10 STREET,QUEENS,1001183,217811,40.7645010897039,-73.93887280224702,"
,  
(40.7645010897039, -73.93887280224702)"
59907296,2024-01-02T07:05:00.000,DEP,Noise,Noise: Private Carting Noise (NQ1),NA,10023,50 WEST   72 STREET,WEST   72 STREET,CENTRAL PARK W,COLUMBUS AVE,NA,NA,ADDRESS,NEW YORK,NA,MANHATTAN,990354,222378,40.77705042272612,-73.97796074494948,"
,  
(40.77705042272612, -73.97796074494948)"
59910136,2024-01-02T07:04:27.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,10467,3027 CRUGER AVENUE,CRUGER AVENUE,ADEE AVENUE,BURKE AVENUE,ADEE AVENUE,BURKE AVENUE,ADDRESS,BRONX,CRUGER AVENUE,BRONX,1021255,256311,40.870111414227935,-73.86620178352732,"
,  
(40.870111414227935, -73.86620178352732)"
59904836,2024-01-02T07:04:26.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11357,21-17 PARSONS BOULEVARD,PARSONS BOULEVARD,21 AVENUE,22 AVENUE,21 AVENUE,22 AVENUE,ADDRESS,WHITESTONE,PARSONS BOULEVARD,QUEENS,1033266,223604,40.780281664096556,-73.82301289784321,"
,  
(40.780281664096556, -73.82301289784321)"
59907617,2024-01-02T07:04:18.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11201,234 SANDS STREET,SANDS STREET,BIKE PATH,NAVY STREET,BIKE PATH,NAVY STREET,ADDRESS,BROOKLYN,SANDS STREET,BROOKLYN,989518,194201,40.699712085471425,-73.9810012927035,"
,  
(40.699712085471425, -73.9810012927035)"
59902402,2024-01-02T07:04:15.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11385,657 FAIRVIEW AVENUE,FAIRVIEW AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,RIDGEWOOD,FAIRVIEW AVENUE,QUEENS,1010385,196744,40.706654994416525,-73.905735948733,"
,  
(40.706654994416525, -73.905735948733)"
59908616,2024-01-02T07:03:41.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2502 EAST   19 STREET,EAST   19 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,EAST   19 STREET,BROOKLYN,997889,154289,40.59015333949006,-73.95089251104693,"
,  
(40.59015333949006, -73.95089251104693)"
59904142,2024-01-02T07:03:37.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458,2985 WEBSTER AVENUE,WEBSTER AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1016748,255519,40.867955361957435,-73.88250147082536,"
,  
(40.867955361957435, -73.88250147082536)"
59908696,2024-01-02T07:03:32.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11217,29 FORT GREENE PLACE,FORT GREENE PLACE,DEKALB AVENUE,FULTON STREET,DEKALB AVENUE,FULTON STREET,ADDRESS,BROOKLYN,FORT GREENE PLACE,BROOKLYN,990655,190238,40.68883381906261,-73.97690454285608,"
,  
(40.68883381906261, -73.97690454285608)"
59927275,2024-01-02T07:03:30.000,DOT,Street Condition,Pothole,NA,10475,2440 HUNTER AVENUE,HUNTER AVENUE,BOLLER AVENUE,EARHART LANE,NA,NA,ADDRESS,BRONX,NA,BRONX,1032682,253425,40.8621349343658,-73.82490636968012,"
,  
(40.8621349343658, -73.82490636968012)"
59906719,2024-01-02T07:03:28.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10312,4310 AMBOY ROAD,AMBOY ROAD,NA,NA,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,939772,138098,40.545611165707086,-74.1600372514014,"
,  
(40.545611165707086, -74.1600372514014)"
59909282,2024-01-02T07:03:26.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10026,45 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NA,NA,NA,NA,ADDRESS,NEW YORK,NA,MANHATTAN,997404,230817,40.80020553118457,-73.9524893160472,"
,  
(40.80020553118457, -73.9524893160472)"
59910512,2024-01-02T07:03:24.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10075,1477 YORK AVENUE,YORK AVENUE,NA,NA,NA,NA,ADDRESS,NEW YORK,NA,MANHATTAN,997881,220148,40.77092125520975,-73.95078809807279,"
,  
(40.77092125520975, -73.95078809807279)"
59901564,2024-01-02T07:03:24.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10309,5840 AMBOY ROAD,AMBOY ROAD,NA,NA,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,928013,130988,40.526028835564496,-74.20228835034739,"
,  
(40.526028835564496, -74.20228835034739)"
59902326,2024-01-02T07:03:21.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11207,15 BARBEY STREET,BARBEY STREET,HIGHLAND BOULEVARD,SUNNYSIDE AVENUE,HIGHLAND BOULEVARD,SUNNYSIDE AVENUE,ADDRESS,BROOKLYN,BARBEY STREET,BROOKLYN,1014606,188171,40.68311064165563,-73.89055024183077,"
,  
(40.68311064165563, -73.89055024183077)"
59903577,2024-01-02T07:03:12.000,NYPD,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11207,247 ASHFORD STREET,ASHFORD STREET,ATLANTIC AVENUE,LIBERTY AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,ASHFORD STREET,BROOKLYN,1015927,185785,40.67655698928346,-73.88579854496747,"
,  
(40.67655698928346, -73.88579854496747)"
59907138,2024-01-02T07:03:00.000,DSNY,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10011,15 WEST   20 STREET,WEST   20 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   20 STREET,MANHATTAN,986538,208886,40.740020145097105,-73.99174348144462,"
,  
(40.740020145097105, -73.99174348144462)"
59907511,2024-01-02T07:02:54.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11212,80 JUNIUS STREET,JUNIUS STREET,LIBERTY AVENUE,GLENMORE AVENUE,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,JUNIUS STREET,BROOKLYN,1010928,184454,40.67292017290196,-73.90382611880763,"
,  
(40.67292017290196, -73.90382611880763)"
59910018,2024-01-02T07:02:28.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10467,3270 HULL AVENUE,HULL AVENUE,EAST  207 STREET,EAST  209 STREET,EAST  207 STREET,EAST  209 STREET,ADDRESS,BRONX,HULL AVENUE,BRONX,1018819,258466,40.87603609771471,-73.87499844728387,"
,  
(40.87603609771471, -73.87499844728387)"
59907568,2024-01-02T07:02:00.000,DOT,Traffic Signal Condition,Controller,NA,11222,NA,NA,NA,NA,BEDFORD AVENUE,MANHATTAN AVENUE,INTERSECTION,BROOKLYN,NA,BROOKLYN,997838,203089,40.72409866269384,-73.95097780722291,"
,  
(40.72409866269384, -73.95097780722291)"
59903459,2024-01-02T07:02:00.000,DEP,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",NA,11385,1831 PALMETTO STREET,PALMETTO STREET,NYCTA SUBWAY,ONDERDONK AVE,NA,NA,ADDRESS,RIDGEWOOD,NA,QUEENS,1010022,195574,40.70344468644678,-73.90704969862401,"
,  
(40.70344468644678, -73.90704969862401)"
59905881,2024-01-02T07:01:19.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11209,9949 3 AVENUE,3 AVENUE,100 STREET,101 STREET,100 STREET,101 STREET,ADDRESS,BROOKLYN,3 AVENUE,BROOKLYN,974349,162678,40.61318440248749,-74.03566104430229,"
,  
(40.61318440248749, -74.03566104430229)"
59904638,2024-01-02T07:00:56.000,DSNY,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10014,75 GREENWICH AVENUE,GREENWICH AVENUE,7 AVENUE,BANK STREET,7 AVENUE,BANK STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,MANHATTAN,983917,207683,40.73671849788938,-74.0012016103309,"
,  
(40.73671849788938, -74.0012016103309)"
59904475,2024-01-02T07:00:47.000,DOHMH,Food Establishment,Toilet Facility,Restaurant/Bar/Deli/Bakery,10021,1247 3 AVENUE,3 AVENUE,EAST   71 STREET,EAST   72 STREET,EAST   71 STREET,EAST   72 STREET,ADDRESS,NEW YORK,3 AVENUE,MANHATTAN,995133,219661,40.76958837744772,-73.96070996995581,"
,  
(40.76958837744772, -73.96070996995581)"
59902539,2024-01-02T07:00:35.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2312 PROSPECT AVENUE,PROSPECT AVENUE,EAST  183 STREET,EAST  185 STREET,EAST  183 STREET,EAST  185 STREET,ADDRESS,BRONX,PROSPECT AVENUE,BRONX,1016473,249729,40.85206457523707,-73.8835235848313,"
,  
(40.85206457523707, -73.8835235848313)"
59906500,2024-01-02T07:00:23.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11207,510 WYONA STREET,WYONA STREET,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1014365,181951,40.66603897748475,-73.89144696746713,"
,  
(40.66603897748475, -73.89144696746713)"
59907859,2024-01-02T07:00:21.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,896 JEFFERSON AVENUE,JEFFERSON AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1005934,189403,40.6865176914062,-73.92181349595573,"
,  
(40.6865176914062, -73.92181349595573)"
59901789,2024-01-02T07:00:03.000,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11426,77-17 249 STREET,249 STREET,SHILOH AVENUE,UNION TURNPIKE,SHILOH AVENUE,UNION TURNPIKE,ADDRESS,BELLEROSE,249 STREET,QUEENS,1061436,210295,40.74355095425909,-73.72144996145964,"
,  
(40.74355095425909, -73.72144996145964)"
59915392,2024-01-02T07:00:00.000,DOT,Street Condition,Pothole,NA,10306,358 CLARKE AVENUE,CLARKE AVENUE,ST PATRICKS PLACE,GILBERT STREET,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,944482,146678,40.56918395591601,-74.14314057770251,"
,  
(40.56918395591601, -74.14314057770251)"
59920532,2024-01-02T07:00:00.000,DOT,Street Condition,Pothole,NA,10314,NA,NA,NA,NA,BRENTON PLACE,SANFORD PLACE,INTERSECTION,STATEN ISLAND,NA,STATEN ISLAND,952233,163385,40.61507265661033,-74.11532090200136,"
,  
(40.61507265661033, -74.11532090200136)"
59914068,2024-01-02T07:00:00.000,DOT,Street Condition,Pothole,NA,10306,368 CLARKE AVENUE,CLARKE AVENUE,ST PATRICKS PLACE,GILBERT STREET,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,944435,146703,40.56925236502569,-74.14330989598939,"
,  
(40.56925236502569, -74.14330989598939)"
59912047,2024-01-02T07:00:00.000,DOT,Street Condition,Wear & Tear,NA,10312,NA,NA,NA,NA,HYLAN BOULEVARD,RICHMOND AVENUE,INTERSECTION,STATEN ISLAND,NA,STATEN ISLAND,941450,133962,40.53426689664762,-74.15397345766736,"
,  
(40.53426689664762, -74.15397345766736)"
59908437,2024-01-02T06:59:53.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11235,2500 EAST   23 STREET,EAST   23 STREET,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,EAST   23 STREET,BROOKLYN,999022,154464,40.59063186357122,-73.94681274054908,"
,  
(40.59063186357122, -73.94681274054908)"
59902023,2024-01-02T06:59:04.000,DSNY,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10014,73 GREENWICH AVENUE,GREENWICH AVENUE,7 AVENUE,BANK STREET,7 AVENUE,BANK STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,MANHATTAN,983929,207657,40.73664713475894,-74.00115830781715,"
,  
(40.73664713475894, -74.00115830781715)"
59901944,2024-01-02T06:59:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11235,2729 EAST   27 STREET,EAST   27 STREET,VOORHIES AVENUE,SHORE PARKWAY,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,1000326,152942,40.58645200912236,-73.9421212512707,"
,  
(40.58645200912236, -73.9421212512707)"
59906371,2024-01-02T06:58:58.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11212,35 EAST   94 STREET,EAST   94 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST NEW YORK AVENUE,RUTLAND ROAD,ADDRESS,BROOKLYN,EAST   94 STREET,BROOKLYN,1004472,181095,40.66371757115178,-73.92710998769313,"
,  
(40.66371757115178, -73.92710998769313)"
59908213,2024-01-02T06:58:48.000,DOHMH,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11228,958 76 STREET,76 STREET,FORT HAMILTON PARKWAY,10 AVENUE,FORT HAMILTON PARKWAY,10 AVENUE,ADDRESS,BROOKLYN,76 STREET,BROOKLYN,979883,166737,40.62432996937848,-74.01573152031254,"
,  
(40.62432996937848, -74.01573152031254)"
59907505,2024-01-02T06:58:37.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11203,1358 UTICA AVENUE,UTICA AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,UTICA AVENUE,BROOKLYN,1003940,172160,40.63919414735457,-73.92905366016015,"
,  
(40.63919414735457, -73.92905366016015)"
59902982,2024-01-02T06:58:02.000,NYPD,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11201,345 ADAMS STREET,ADAMS STREET,JOHNSON STREET,WILLOUGHBY STREET,JOHNSON STREET,WILLOUGHBY STREET,ADDRESS,BROOKLYN,ADAMS STREET,BROOKLYN,987324,191901,40.69340015431026,-73.98891486387227,"
,  
(40.69340015431026, -73.98891486387227)"
59901956,2024-01-02T06:58:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,10462,2084 WHITE PLAINS ROAD,WHITE PLAINS ROAD,BRADY AVENUE,MARAN PLACE,NA,NA,ADDRESS,BRONX,NA,BRONX,1020838,250047,40.85292038037727,-73.86774371490314,"
,  
(40.85292038037727, -73.86774371490314)"
59909678,2024-01-02T06:58:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,10471,3902 MANHATTAN COLLEGE PARKWAY,MANHATTAN COLLEGE PARKWAY,HENRY HUDSON PARKWAY EAST,DELAFIELD AVENUE,NA,NA,ADDRESS,BRONX,NA,BRONX,1009694,263653,40.890303808300075,-73.90797472720007,"
,  
(40.890303808300075, -73.90797472720007)"
59906060,2024-01-02T06:57:58.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11210,704 EAST   38 STREET,EAST   38 STREET,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,EAST   38 STREET,BROOKLYN,1000762,171768,40.63812468604623,-73.94050547736296,"
,  
(40.63812468604623, -73.94050547736296)"
59903549,2024-01-02T06:57:44.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,81 AVENUE O,AVENUE O,WEST    8 STREET,SEA BEACH LINE,WEST    8 STREET,SEA BEACH LINE,ADDRESS,BROOKLYN,AVENUE O,BROOKLYN,989231,161675,40.61043550573943,-73.98206036321388,"
,  
(40.61043550573943, -73.98206036321388)"
59903998,2024-01-02T06:57:32.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11367,147-07 72 ROAD,72 ROAD,NA,NA,NA,NA,ADDRESS,FLUSHING,NA,QUEENS,1034391,204086,40.726703511645965,-73.81909630071068,"
,  
(40.726703511645965, -73.81909630071068)"
59903963,2024-01-02T06:57:25.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10031,707 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NA,NA,NA,NA,ADDRESS,NEW YORK,NA,MANHATTAN,999591,239600,40.82430888913169,-73.94457006021238,"
,  
(40.82430888913169, -73.94457006021238)"
59909068,2024-01-02T06:57:22.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11375,63-61 110 STREET,110 STREET,NA,NA,NA,NA,ADDRESS,FOREST HILLS,NA,QUEENS,1026477,206795,40.73418036179761,-73.84763215535493,"
,  
(40.73418036179761, -73.84763215535493)"
59905884,2024-01-02T06:57:10.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11356,6-23 COLLEGE PLACE,COLLEGE PLACE,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,COLLEGE POINT,COLLEGE PLACE,QUEENS,1026399,227674,40.791488124854055,-73.84778268850486,"
,  
(40.791488124854055, -73.84778268850486)"
59908427,2024-01-02T06:56:48.000,DSNY,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,10014,333 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,WEST    3 STREET,WEST    4 STREET,WEST    3 STREET,WEST    4 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,MANHATTAN,983924,205751,40.731415633716885,-74.00117625764136,"
,  
(40.731415633716885, -74.00117625764136)"
59907613,2024-01-02T06:56:33.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10040,9 SHERMAN AVENUE,SHERMAN AVENUE,BROADWAY,SICKLES STREET,BROADWAY,SICKLES STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,MANHATTAN,1003865,253491,40.86242714753965,-73.92908666299827,"
,  
(40.86242714753965, -73.92908666299827)"
59903568,2024-01-02T06:56:29.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1514 WEST    7 STREET,WEST    7 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,WEST    7 STREET,BROOKLYN,989506,161476,40.60988913277488,-73.98107007441934,"
,  
(40.60988913277488, -73.98107007441934)"
59901200,2024-01-02T06:56:04.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11238,250 GREENE AVENUE,GREENE AVENUE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,GREENE AVENUE,BROOKLYN,995049,189663,40.687251305655195,-73.96106136957272,"
,  
(40.687251305655195, -73.96106136957272)"
59910702,2024-01-02T06:55:50.000,DOT,Street Condition,Pothole,NA,11230,EAST    5 STREET,EAST    5 STREET,AVENUE M,AVENUE N,NA,NA,BLOCKFACE,BROOKLYN,NA,BROOKLYN,NA,NA,NA,NA,NA
59906810,2024-01-02T06:55:25.000,DOT,Street Condition,Pothole,NA,11230,AVENUE I,AVENUE I,EAST    3 STREET,EAST    4 STREET,NA,NA,BLOCKFACE,BROOKLYN,NA,BROOKLYN,NA,NA,NA,NA,NA
59902220,2024-01-02T06:55:11.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11207,689 MILLER AVENUE,MILLER AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,MILLER AVENUE,BROOKLYN,1015131,180925,40.6632201986469,-73.8886905334547,"
,  
(40.6632201986469, -73.8886905334547)"
59906789,2024-01-02T06:54:48.000,HPD,FLOORING/STAIRS,STAIRS,RESIDENTIAL BUILDING,10468,2917 GRAND CONCOURSE,GRAND CONCOURSE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1014963,256753,40.871348703520106,-73.88894958547674,"
,  
(40.871348703520106, -73.88894958547674)"
59908071,2024-01-02T06:54:20.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10314,53 RICHMOND HILL ROAD,RICHMOND HILL ROAD,NA,NA,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,938119,153580,40.5880977289772,-74.16609055499437,"
,  
(40.5880977289772, -74.16609055499437)"
59902226,2024-01-02T06:54:03.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11229,2105 EAST   12 STREET,EAST   12 STREET,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,EAST   12 STREET,BROOKLYN,995320,157240,40.59825682101242,-73.9601374097301,"
,  
(40.59825682101242, -73.9601374097301)"
59909368,2024-01-02T06:53:55.000,DOT,Street Condition,Pothole,NA,11210,AVENUE L,AVENUE L,EAST   36 STREET,EAST   37 STREET,NA,NA,BLOCKFACE,BROOKLYN,NA,BROOKLYN,NA,NA,NA,NA,NA
59906218,2024-01-02T06:53:38.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11208,753 GLENMORE AVENUE,GLENMORE AVENUE,LINWOOD STREET,ESSEX STREET,LINWOOD STREET,ESSEX STREET,ADDRESS,BROOKLYN,GLENMORE AVENUE,BROOKLYN,1016860,185295,40.67520866314497,-73.88243728189775,"
,  
(40.67520866314497, -73.88243728189775)"
59928660,2024-01-02T06:53:33.000,DOT,Street Condition,Pothole,NA,10473,NA,NA,NA,NA,PUGSLEY AVENUE,RANDALL AVENUE,INTERSECTION,BRONX,NA,BRONX,1024622,237417,40.81823823818458,-73.85414156338119,"
,  
(40.81823823818458, -73.85414156338119)"
59909955,2024-01-02T06:53:19.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1406 WEST    6 STREET,WEST    6 STREET,65 STREET,AVENUE O,65 STREET,AVENUE O,ADDRESS,BROOKLYN,WEST    6 STREET,BROOKLYN,989681,162226,40.61194762298651,-73.9804391940515,"
,  
(40.61194762298651, -73.9804391940515)"
59903148,2024-01-02T06:53:07.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1 AVENUE T,AVENUE T,STILLWELL AVENUE,WEST   13 STREET,STILLWELL AVENUE,WEST   13 STREET,ADDRESS,BROOKLYN,AVENUE T,BROOKLYN,988320,157128,40.59795538269864,-73.98534417297984,"
,  
(40.59795538269864, -73.98534417297984)"
59921951,2024-01-02T06:52:43.000,DOT,Street Condition,Pothole,NA,NA,NA,NA,NA,NA,ZEREGA AVENUE,BRUCKNER BOULEVARD,INTERSECTION,NA,NA,BRONX,NA,NA,NA,NA,NA
59906374,2024-01-02T06:52:38.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11103,37-15 30 AVENUE,30 AVENUE,37 STREET,38 STREET,37 STREET,38 STREET,ADDRESS,ASTORIA,30 AVENUE,QUEENS,1007413,217836,40.76455558054324,-73.91638277091631,"
,  
(40.76455558054324, -73.91638277091631)"
